# RadCal SD15 array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: CO2 15 um band (500-880 cm-1). RadCal's other CO2 bands are closed-form and are ported in scripts/radcal.py; this one is tabulated. Note the temperature grid is not the H2O one, and RadCal clamps a query above 2400 K to the top row.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1200K,k_1500K,k_1800K,k_2400K
500,0,0,0,0.0105,0.03,0.088
505,0,0,0,0.018,0.049,0.088
510,0,0,0,0.03,0.054,0.074
515,0,0,0,0.03,0.056,0.089
520,0,0,0,0.033,0.069,0.099
525,0,0,0.0088,0.038,0.072,0.097
530,0,0,0.011,0.053,0.095,0.124
535,0,0,0.0285,0.063,0.099,0.14
540,0,0,0.033,0.068,0.103,0.134
545,0,0,0.045,0.092,0.138,0.176
550,0,0,0.049,0.097,0.148,0.191
555,0,0,0.049,0.012,0.188,0.247
560,0,0,0.048,0.126,0.201,0.241
565,0,0,0.082,0.198,0.27,0.265
570,0,0.0075,0.069,0.14,0.225,0.34
575,0,0.0205,0.082,0.145,0.236,0.53
580,0,0.0355,0.117,0.193,0.295,0.55
585,0.0157,0.052,0.17,0.235,0.305,0.41
590,0.015,0.088,0.27,0.33,0.44,0.52
595,0.051,0.13,0.4,0.53,0.56,0.54
600,0.12,0.165,0.275,0.32,0.42,0.56
605,0.088,0.19,0.43,0.54,0.62,0.68
610,0.11,0.35,0.71,0.76,0.76,0.69
615,0.18,0.47,0.92,0.97,0.91,0.67
620,0.097,0.265,0.61,0.72,0.78,0.73
625,0.175,0.38,0.72,0.79,0.83,0.84
630,0.37,0.64,0.92,0.96,0.98,0.94
635,0.59,0.84,1.07,1.1,1.11,1.06
640,0.94,1.03,1.15,1.15,1.15,1.18
645,1.96,1.77,1.46,1.36,1.32,1.39
650,3.45,2.82,1.98,1.72,1.56,1.48
655,2.82,2.48,2,1.9,1.86,2.05
660,2.54,2.34,1.84,1.76,1.74,2.03
665,14.2,8.6,3.7,2.6,1.96,1.42
670,4.5,5.7,5.8,5.2,3.5,4.2
675,3.6,3.1,3.3,2.9,2.05,2
680,3.1,2.6,2,1.96,1.8,2.1
685,2.4,2.5,2.3,2.2,1.7,1.94
690,1.82,2,2.18,2.05,1.84,1.3
695,1.04,1.35,1.72,1.72,1.65,1.3
700,0.55,1.2,1.43,1.47,1.48,1.25
705,1.36,1.28,1.28,1.35,1.38,1.34
710,0.21,0.78,1.27,1.33,1.37,1.32
715,0.19,0.78,1.4,1.46,1.47,1.42
720,0.9,1.06,1.4,1.5,1.55,1.34
725,0.072,0.3,0.8,1,1.15,1.26
730,0.064,0.21,0.56,0.72,0.86,1.02
735,0.068,0.21,0.53,0.67,0.79,1.01
740,0.069,0.21,0.54,0.69,0.82,0.91
745,0.033,0.14,0.39,0.53,0.69,0.77
750,0.023,0.078,0.27,0.41,0.56,0.89
755,0.03,0.086,0.28,0.4,0.52,0.71
760,0.0175,0.062,0.225,0.335,0.45,0.66
765,0.0105,0.045,0.18,0.28,0.38,0.6
770,0.0045,0.03,0.148,0.24,0.345,0.57
775,0,0.014,0.124,0.205,0.285,0.43
780,0,0.0115,0.11,0.185,0.26,0.375
785,0,0.0135,0.084,0.14,0.205,0.335
790,0,0.0043,0.065,0.12,0.185,0.325
795,0,0,0.054,0.115,0.18,0.315
800,0,0,0.044,0.095,0.15,0.27
805,0,0,0.036,0.079,0.125,0.205
810,0,0,0.025,0.065,0.11,0.178
815,0,0,0.018,0.062,0.103,0.153
820,0,0,0.032,0.058,0.086,0.147
825,0,0,0.008,0.051,0.087,0.134
830,0,0,0.006,0.048,0.083,0.133
835,0,0,0,0.043,0.078,0.118
840,0,0,0,0.042,0.07,0.108
845,0,0,0,0.036,0.064,0.098
850,0,0,0,0.035,0.061,0.087
855,0,0,0,0.032,0.058,0.086
860,0,0,0,0.033,0.056,0.075
865,0,0,0,0.03,0.053,0.075
870,0,0,0,0.029,0.053,0.085
875,0,0,0,0.024,0.047,0.09
880,0,0,0,0.022,0.045,0.086
885,0,0,0,0,0,0
890,0,0,0,0,0,0
895,0,0,0,0,0,0
