# RadCal SD array, extracted from FDS Source/rcal.f90.
# source: https://raw.githubusercontent.com/firemodels/fds/61bd9cc6317ea4f47f46de3d52268e858f0ca8b0/Source/rcal.f90
# retrieved: 2026-09-22
# reference: W. L. Grosshandler (1993), 'RadCal: A Narrow-Band Model for Radiation Calculations in a Combustion Environment', NIST Technical Note 1402; as implemented in FDS Source/rcal.f90
# licence: public domain (a work of the US federal government).
# STATUS: REFERENCE DATA -- transcribed, not modelled and not measured here.
# note: H2O narrow-band mean absorption coefficient. RadCal's H2O routine is a bilinear interpolation in this table over (temperature, wavenumber) and nothing else.
# units: cm-1 per atm of partial pressure, referred to STP density (NASA SP-3080).
wavenumber_cm-1,k_300K,k_600K,k_1000K,k_1500K,k_2000K,k_2500K
50,0.95,0.103,0.042,0.0114,0.0045,0.003
75,2.08,0.365,0.113,0.0375,0.0195,0.0134
100,3.68,0.99,0.3,0.104,0.0577,0.0365
125,6.5,2.01,0.65,0.214,0.128,0.0845
150,8.25,3.25,1.21,0.415,0.26,0.168
175,8.7,4.52,1.89,0.765,0.45,0.289
200,8.1,5.4,2.61,1.26,0.695,0.46
225,6.82,6,3.37,1.79,1.01,0.679
250,4.93,6.22,4.07,2.3,1.35,0.935
275,3.16,5.92,4.56,2.81,1.72,1.22
300,1.99,5.28,4.79,3.28,2.13,1.49
325,1.13,4.5,4.84,3.61,2.49,1.79
350,0.585,3.7,4.71,3.83,2.84,2.08
375,0.293,2.89,4.43,3.94,3.12,2.37
400,0.138,2.05,4,3.96,3.3,2.6
425,0.062,1.43,3.47,3.88,3.41,2.8
450,0.0255,0.95,2.92,3.7,3.45,2.95
475,0.0094,0.61,2.36,3.43,3.42,3.04
500,0.0034,0.386,1.88,3.1,3.34,3.09
525,0.00105,0.236,1.45,2.74,3.19,3.07
550,0.00035,0.144,1.1,2.38,3,3.01
575,0.000126,0.082,0.818,2.04,2.76,2.89
600,4.3e-05,0.0445,0.598,1.74,2.48,2.75
625,1.5e-05,0.0242,0.427,1.45,2.22,2.6
650,5.1e-06,0.0127,0.294,1.18,1.95,2.41
675,1.7e-06,0.0063,0.2,0.95,1.69,2.21
700,5.7e-07,0.003,0.134,0.748,1.46,2
725,1.95e-07,0.0014,0.0902,0.58,1.24,1.78
750,6.8e-08,0.00062,0.059,0.443,1.03,1.56
775,3.85e-08,0.000275,0.045,0.33,0.845,1.36
800,6.7e-08,0.000113,0.0355,0.242,0.695,1.17
